T,C,p95,QPS,target
1,1,550.2,4935.6,5000
1,1,712.0,10008.0,10000
1,1,847.8,14916.0,15000
1,1,896.1,19878.6,20000
1,1,988.2,24902.2,25000
1,1,989.2,29883.3,30000
1,1,1085.8,34963.0,35000
1,1,1027.1,40043.2,40000
1,1,1080.8,44880.4,45000
1,1,1159.1,50004.0,50000
1,1,1054.8,54921.1,55000
1,1,1135.0,60023.6,60000
1,1,1062.9,64738.4,65000
1,1,1186.5,69898.5,70000
1,1,1271.4,74663.0,75000
1,1,1560.8,73932.0,80000
1,1,1487.2,76749.4,85000
1,1,1544.4,74107.0,90000
1,1,1491.8,76556.0,95000
1,1,1466.5,78058.6,100000
1,1,1515.9,75641.5,105000
1,1,1547.4,74812.3,110000
1,1,1620.0,70664.0,115000
1,1,1478.7,76896.2,120000
1,1,547.8,4976.4,5000
1,1,708.0,10121.6,10000
1,1,833.3,15107.8,15000
1,1,911.2,20076.4,20000
1,1,985.9,25054.8,25000
1,1,981.6,29957.0,30000
1,1,1053.1,34796.8,35000
1,1,1009.7,40155.6,40000
1,1,1003.5,44959.4,45000
1,1,1043.5,50036.0,50000
1,1,1020.8,55149.4,55000
1,1,1129.4,60113.9,60000
1,1,1080.9,64840.9,65000
1,1,1291.1,69930.3,70000
1,1,1604.2,71097.2,75000
1,1,1689.3,67556.6,80000
1,1,1585.7,71922.4,85000
1,1,1590.1,71736.2,90000
1,1,1594.7,71969.6,95000
1,1,1492.7,75552.3,100000
1,1,1574.5,72693.1,105000
1,1,1686.2,68477.2,110000
1,1,1582.0,72560.8,115000
1,1,1514.4,75428.2,120000
1,1,649.0,4934.8,5000
1,1,841.0,9986.6,10000
1,1,915.3,14984.4,15000
1,1,1012.3,20091.8,20000
1,1,1085.0,25181.2,25000
1,1,1099.7,29986.8,30000
1,1,1092.7,34991.0,35000
1,1,1126.5,39747.4,40000
1,1,1121.8,44980.2,45000
1,1,1184.2,49986.4,50000
1,1,1095.4,54833.0,55000
1,1,1225.1,60010.6,60000
1,1,1131.5,64963.2,65000
1,1,1251.3,70029.2,70000
1,1,1570.5,71305.6,75000
1,1,1480.3,76111.0,80000
1,1,1605.4,70742.4,85000
1,1,1513.8,74942.4,90000
1,1,1608.6,70485.8,95000
1,1,1564.5,73133.8,100000
1,1,1657.6,69387.0,105000
1,1,1656.7,69092.8,110000
1,1,1568.4,72838.5,115000
1,1,1625.0,70305.0,120000
2,1,600.6,4947.0,5000
2,1,863.7,10059.2,10000
2,1,1014.4,15022.8,15000
2,1,1119.8,19983.0,20000
2,1,1247.1,24924.2,25000
2,1,1541.0,29988.8,30000
2,1,1598.2,35060.2,35000
2,1,1575.9,40027.0,40000
2,1,1574.1,45026.6,45000
2,1,1685.9,49972.6,50000
2,1,1839.5,54903.2,55000
2,1,1811.4,60064.0,60000
2,1,1812.6,64950.4,65000
2,1,2035.6,69617.0,70000
2,1,2026.2,74428.2,75000
2,1,2056.1,72513.6,80000
2,1,2121.2,73269.4,85000
2,1,2052.8,74769.1,90000
2,1,2107.2,74238.2,95000
2,1,2162.3,73074.6,100000
2,1,2030.2,76586.1,105000
2,1,2054.9,74682.4,110000
2,1,2132.0,72625.9,115000
2,1,2098.5,74704.4,120000
2,1,692.7,5097.0,5000
2,1,870.9,9920.6,10000
2,1,1013.8,14990.2,15000
2,1,1185.7,20088.6,20000
2,1,1283.1,24845.5,25000
2,1,1366.9,29904.8,30000
2,1,1538.2,35014.2,35000
2,1,1582.2,39930.2,40000
2,1,1560.4,44987.0,45000
2,1,1604.0,50003.0,50000
2,1,1737.7,55020.2,55000
2,1,1733.4,59945.2,60000
2,1,1936.2,64994.2,65000
2,1,1872.6,69992.2,70000
2,1,2063.9,74471.0,75000
2,1,2172.5,69247.2,80000
2,1,2158.1,72352.6,85000
2,1,2034.6,76665.4,90000
2,1,2200.9,68873.0,95000
2,1,2177.6,68931.6,100000
2,1,2124.9,71633.4,105000
2,1,2121.1,73814.4,110000
2,1,2110.2,72645.8,115000
2,1,2157.9,70966.8,120000
2,1,550.5,4912.2,5000
2,1,772.8,10034.4,10000
2,1,1019.7,15041.2,15000
2,1,1152.7,19935.8,20000
2,1,1262.8,24782.2,25000
2,1,1335.7,29945.6,30000
2,1,1405.2,34874.7,35000
2,1,1457.6,39832.3,40000
2,1,1535.9,44868.6,45000
2,1,1671.8,49880.6,50000
2,1,1626.0,54829.0,55000
2,1,1660.1,59784.7,60000
2,1,1951.7,64908.2,65000
2,1,1975.6,69932.8,70000
2,1,2105.3,74550.0,75000
2,1,2107.5,71403.3,80000
2,1,1946.8,80292.6,85000
2,1,2133.9,70406.0,90000
2,1,2086.9,73155.4,95000
2,1,2030.2,75666.2,100000
2,1,1972.0,80670.3,105000
2,1,2142.1,70685.8,110000
2,1,2063.9,73062.2,115000
2,1,2108.8,74701.4,120000
1,2,520.3,4920.0,5000
1,2,730.8,9965.8,10000
1,2,854.4,15028.2,15000
1,2,901.6,19935.0,20000
1,2,984.5,24967.7,25000
1,2,974.6,29890.0,30000
1,2,968.8,34826.2,35000
1,2,1000.8,40048.8,40000
1,2,1014.0,44980.4,45000
1,2,1108.6,50048.6,50000
1,2,1049.8,55014.0,55000
1,2,1040.3,59806.0,60000
1,2,994.5,65083.6,65000
1,2,1182.2,70004.8,70000
1,2,1165.9,74873.9,75000
1,2,1412.7,78597.4,80000
1,2,1478.6,77060.2,85000
1,2,1537.9,74562.2,90000
1,2,1536.0,74303.8,95000
1,2,1472.4,77535.9,100000
1,2,1481.9,76962.2,105000
1,2,1423.3,80334.6,110000
1,2,1482.4,76883.8,115000
1,2,1492.5,76365.4,120000
1,2,572.5,5006.2,5000
1,2,747.1,10010.6,10000
1,2,851.3,14971.8,15000
1,2,912.5,20057.6,20000
1,2,1007.0,25131.3,25000
1,2,1043.0,30060.8,30000
1,2,1001.0,34921.0,35000
1,2,1004.9,39985.2,40000
1,2,1010.6,44944.4,45000
1,2,1006.5,49706.9,50000
1,2,1014.2,54994.4,55000
1,2,1089.6,59934.2,60000
1,2,996.5,65040.3,65000
1,2,1313.8,69932.8,70000
1,2,1343.2,74843.6,75000
1,2,1731.6,68000.7,80000
1,2,1700.1,68570.2,85000
1,2,1523.0,74806.2,90000
1,2,1541.2,74394.2,95000
1,2,1491.1,76580.4,100000
1,2,1492.5,76275.6,105000
1,2,1432.4,80019.6,110000
1,2,1515.8,75523.8,115000
1,2,1567.9,73685.0,120000
1,2,562.4,5024.0,5000
1,2,714.7,10003.6,10000
1,2,868.7,14812.0,15000
1,2,986.1,19951.6,20000
1,2,951.6,25062.4,25000
1,2,1005.2,29994.7,30000
1,2,998.7,34913.2,35000
1,2,1032.7,40025.8,40000
1,2,1003.8,44918.2,45000
1,2,1090.4,49614.2,50000
1,2,1085.0,54942.2,55000
1,2,1277.5,59853.4,60000
1,2,1083.9,64712.1,65000
1,2,1126.9,69971.2,70000
1,2,1415.9,74407.0,75000
1,2,1547.5,74273.4,80000
1,2,1469.9,77593.2,85000
1,2,1487.3,76436.0,90000
1,2,1446.5,78872.0,95000
1,2,1475.3,77473.4,100000
1,2,1469.1,77697.8,105000
1,2,1531.3,74274.2,110000
1,2,1634.1,69760.7,115000
1,2,1390.6,81468.6,120000
2,2,478.5,4933.2,5000
2,2,624.1,9986.0,10000
2,2,714.6,14964.2,15000
2,2,815.9,19866.4,20000
2,2,816.1,25017.2,25000
2,2,922.7,29982.0,30000
2,2,876.8,35038.1,35000
2,2,1007.6,40109.8,40000
2,2,920.9,44794.2,45000
2,2,816.0,49949.6,50000
2,2,795.2,55048.2,55000
2,2,843.0,60095.6,60000
2,2,805.3,65189.4,65000
2,2,796.9,69969.0,70000
2,2,843.7,75199.4,75000
2,2,762.5,79941.6,80000
2,2,898.7,84809.0,85000
2,2,912.3,89935.0,90000
2,2,810.5,94927.2,95000
2,2,763.0,100081.4,100000
2,2,754.1,104706.7,105000
2,2,789.4,110041.2,110000
2,2,796.8,114909.0,115000
2,2,903.0,119536.4,120000
2,2,502.9,4950.2,5000
2,2,653.0,9865.6,10000
2,2,740.7,15050.0,15000
2,2,805.3,19959.8,20000
2,2,862.1,25017.2,25000
2,2,850.9,30006.6,30000
2,2,902.9,34659.0,35000
2,2,867.4,39865.2,40000
2,2,818.1,44727.0,45000
2,2,768.3,49822.6,50000
2,2,807.4,55111.2,55000
2,2,844.1,59770.2,60000
2,2,848.2,64824.2,65000
2,2,934.9,69902.4,70000
2,2,830.3,74858.6,75000
2,2,803.7,80050.3,80000
2,2,759.5,84869.6,85000
2,2,806.1,90041.3,90000
2,2,740.9,94760.8,95000
2,2,742.5,99951.6,100000
2,2,755.1,104791.4,105000
2,2,839.5,109770.4,110000
2,2,945.5,114810.0,115000
2,2,827.6,119610.2,120000
2,2,498.6,4983.3,5000
2,2,640.5,9963.2,10000
2,2,747.7,14935.8,15000
2,2,805.7,19928.2,20000
2,2,871.5,24839.4,25000
2,2,833.3,29779.2,30000
2,2,865.8,34944.0,35000
2,2,906.8,40046.5,40000
2,2,896.6,44828.8,45000
2,2,823.6,50017.2,50000
2,2,867.2,54798.6,55000
2,2,810.5,60109.7,60000
2,2,924.1,64934.8,65000
2,2,853.3,70095.0,70000
2,2,781.0,74945.6,75000
2,2,799.3,79916.6,80000
2,2,786.5,85180.8,85000
2,2,796.8,89635.3,90000
2,2,780.8,95059.8,95000
2,2,763.1,99743.4,100000
2,2,757.6,104864.6,105000
2,2,763.3,109851.6,110000
2,2,853.9,114139.9,115000
2,2,815.1,119957.7,120000
